EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-11-21,56,48,39,42,29,18,77,56,35,30.30,30.17,29.93,10,10,10,15,8,19,0.00,4,,82
2015-11-22,53,47,40,46,32,21,83,60,36,30.01,29.94,29.89,10,10,10,22,13,29,0.00,7,,303
2015-11-23,43,39,34,20,14,9,48,37,25,30.29,30.12,29.99,10,10,10,23,12,32,T,1,,318
2015-11-24,50,42,33,27,23,13,59,46,33,30.56,30.38,30.29,10,10,10,16,6,20,0.00,5,,251
2015-11-25,55,44,33,33,29,25,76,56,35,30.81,30.72,30.57,10,10,10,13,5,17,0.00,1,,75
2015-11-26,64,51,37,44,39,31,82,65,48,30.81,30.74,30.64,10,10,10,10,2,13,0.00,3,,44
2015-11-27,66,53,40,48,42,37,93,67,40,30.64,30.51,30.28,10,6,0,14,6,16,0.00,6,Fog,218
2015-11-28,62,55,48,52,48,43,89,77,64,30.26,30.19,30.13,10,9,3,16,5,20,0.01,8,Rain,337
2015-11-29,51,46,40,43,35,23,82,64,45,30.38,30.24,30.19,10,10,7,20,8,26,0.12,7,Rain,29
2015-11-30,47,42,36,40,32,23,83,65,46,30.43,30.36,30.26,10,10,6,21,12,26,0.02,8,Rain,46
2015-12-1,56,51,45,54,49,41,93,88,83,30.26,30.12,29.99,10,4,1,12,7,18,0.70,8,Rain,70
2015-12-2,60,56,52,56,52,42,96,84,72,30.00,29.84,29.67,10,4,0,22,6,28,0.16,8,Fog-Rain,219
2015-12-3,56,48,40,40,32,27,66,54,42,30.30,30.01,29.74,10,10,10,28,14,34,0.00,4,,280
2015-12-4,52,46,39,33,30,29,70,56,41,30.63,30.47,30.31,10,10,10,15,8,20,0.00,2,,289
2015-12-5,51,44,36,35,31,28,79,63,46,30.72,30.67,30.63,10,10,4,10,4,14,0.00,0,Fog,348
2015-12-6,53,43,32,36,33,29,85,66,46,30.64,30.47,30.29,9,7,5,9,4,14,0.00,3,,225
2015-12-7,57,46,35,38,32,25,92,62,32,30.27,30.16,30.08,10,7,3,12,5,16,0.00,5,,260
2015-12-8,50,43,36,32,29,26,76,59,42,30.17,30.13,30.08,10,10,7,15,6,20,0.00,3,,331
2015-12-9,58,47,35,45,38,30,89,74,59,30.17,30.09,29.99,10,8,4,16,6,25,0.00,6,,175
2015-12-10,62,54,46,45,43,40,86,67,48,30.03,29.98,29.94,10,9,7,7,4,13,0.00,5,,208
2015-12-11,61,52,42,48,44,40,96,78,60,30.06,29.96,29.91,10,8,3,12,5,14,0.00,6,Fog,228
2015-12-12,69,59,49,52,49,46,89,71,53,30.17,30.13,30.08,10,7,2,9,4,11,0.00,7,Fog,234
2015-12-13,71,62,52,56,52,49,89,73,57,30.18,30.13,30.07,10,8,4,8,3,14,0.00,6,Fog,214
2015-12-14,70,62,53,63,56,51,93,77,61,30.07,29.81,29.45,10,5,0,20,7,27,0.09,8,Fog-Rain,137
2015-12-15,69,59,49,63,47,34,78,60,42,29.94,29.62,29.42,10,9,3,29,16,37,0.09,6,Rain,281
2015-12-16,53,51,48,41,38,36,71,63,54,30.14,30.08,29.95,10,10,10,14,7,19,0.00,8,,91
2015-12-17,57,51,45,54,50,41,93,82,71,30.06,29.83,29.69,10,5,0,12,4,18,0.92,8,Fog-Rain,20
2015-12-18,56,48,39,49,34,18,83,62,40,29.94,29.79,29.72,10,9,7,24,14,31,T,7,Rain,300
2015-12-19,42,38,33,19,16,12,52,41,30,30.39,30.18,29.97,10,10,10,29,17,36,0.00,3,,273
2015-12-20,43,37,30,22,18,15,58,47,36,30.58,30.51,30.40,10,10,10,18,9,21,0.00,2,,247
2015-12-21,57,47,36,48,36,22,72,59,46,30.45,30.26,30.12,10,10,10,22,11,28,0.00,7,,216
2015-12-22,61,58,54,56,53,48,93,83,72,30.12,30.02,29.92,10,8,2,16,9,23,0.15,8,Rain,213
2015-12-23,70,64,57,66,59,53,93,90,86,30.15,30.00,29.83,10,5,1,23,8,30,1.55,8,Fog-Rain,125
2015-12-24,71,67,62,65,63,60,93,86,78,30.13,30.00,29.83,10,8,1,24,10,31,0.06,8,Fog-Rain,220
2015-12-25,68,63,58,63,61,56,93,87,81,30.23,30.16,30.10,10,4,0,10,4,14,0.32,8,Fog-Rain,222
2015-12-26,67,59,50,59,46,34,90,68,46,30.47,30.36,30.25,10,9,3,21,10,26,T,8,Rain,50
2015-12-27,65,56,47,61,53,34,93,82,71,30.26,30.00,29.84,10,5,0,26,11,34,0.04,8,Fog-Rain,271
2015-12-28,47,44,40,38,31,24,82,66,49,30.45,30.36,30.17,10,9,4,23,14,29,0.05,7,Rain,56
2015-12-29,52,47,41,49,46,38,93,88,82,30.30,30.04,29.93,10,5,2,21,8,28,0.84,8,Rain-Thunderstorm,25
2015-12-30,52,49,46,49,45,42,86,82,77,30.33,30.18,30.06,10,6,2,9,4,14,0.17,8,Rain,60
2015-12-31,52,47,42,49,40,28,89,70,50,30.16,30.09,30.04,10,9,3,22,9,30,T,7,,318
2016-1-1,43,39,34,27,23,19,59,50,41,30.13,30.10,30.05,10,10,10,24,12,29,0.00,7,,283
2016-1-2,44,38,31,25,21,18,69,55,40,30.16,30.08,29.99,10,10,10,17,7,22,0.00,1,,276
2016-1-3,50,40,30,31,24,19,85,58,31,29.98,29.91,29.83,10,10,10,22,9,28,0.00,1,,258
2016-1-4,37,26,14,23,8,-2,64,45,26,30.38,30.10,29.94,10,10,10,26,16,34,0.00,1,,337
2016-1-5,32,22,12,6,-3,-6,51,36,21,30.66,30.61,30.51,10,10,10,21,9,26,0.00,0,,344
2016-1-6,40,29,18,16,9,2,77,49,20,30.63,30.55,30.43,10,10,10,10,5,13,0.00,0,,232
2016-1-7,45,37,28,34,26,16,79,61,43,30.42,30.30,30.18,10,10,10,8,1,11,0.00,7,,157
2016-1-8,45,41,36,35,30,23,85,63,41,30.22,30.18,30.15,10,10,7,13,6,20,0.00,8,,56
2016-1-9,54,48,42,48,42,36,93,82,71,30.19,30.12,29.94,10,7,1,14,8,18,T,8,Rain,59
2016-1-10,65,53,40,58,50,20,93,68,43,29.89,29.60,29.34,10,7,2,36,17,46,0.63,7,Rain,147
2016-1-11,40,33,26,16,7,1,47,35,23,30.14,30.00,29.76,10,10,10,26,13,39,0.00,1,,290
2016-1-12,46,35,24,28,17,4,61,46,31,30.13,29.86,29.68,10,9,2,35,13,48,T,6,Snow,232
2016-1-13,29,25,21,6,4,1,47,40,33,30.14,30.05,29.90,10,10,10,30,16,44,0.00,3,,276
2016-1-14,47,37,26,25,15,1,54,44,33,30.04,29.97,29.91,10,10,10,22,9,27,0.00,5,,221
2016-1-15,53,42,30,40,32,25,92,68,44,29.95,29.80,29.49,10,9,6,12,4,15,0.16,7,Rain,180
2016-1-16,54,47,40,41,36,28,89,68,46,29.84,29.56,29.39,10,8,4,25,12,32,0.20,7,Rain,299
2016-1-17,42,36,30,29,25,20,85,65,45,29.89,29.80,29.75,10,7,1,17,8,21,0.04,6,Snow,350
2016-1-18,31,25,18,25,5,-3,85,59,32,30.14,29.96,29.76,10,10,9,30,19,38,0.00,1,,290
2016-1-19,29,23,16,6,1,-2,51,40,29,30.26,30.18,30.12,10,10,10,30,18,39,0.00,0,,292
2016-1-20,36,29,21,16,13,6,62,53,44,30.29,30.21,30.12,10,10,10,14,9,21,0.00,5,,272
2016-1-21,37,32,26,16,13,10,63,49,35,30.30,30.21,30.10,10,10,10,20,10,25,0.00,4,,316
2016-1-22,28,25,21,20,12,5,81,60,38,30.34,30.20,29.98,10,6,0,26,10,35,0.20,7,Fog-Snow,35
2016-1-23,30,27,24,25,22,17,92,84,75,29.96,29.68,29.54,10,2,0,38,25,49,1.40,8,Snow,36
2016-1-24,34,28,21,17,12,9,63,51,38,30.17,30.00,29.78,10,10,10,17,10,25,0.00,3,,322
2016-1-25,40,30,19,25,16,12,74,54,33,30.34,30.27,30.17,10,10,10,7,2,11,0.00,3,,204
2016-1-26,50,36,22,33,28,21,88,67,46,30.22,30.06,29.98,10,10,10,17,6,22,0.00,7,,223
2016-1-27,45,38,30,33,23,16,79,55,31,30.17,30.09,29.96,10,10,10,22,10,30,T,5,Rain,295
2016-1-28,43,34,24,24,20,17,81,60,38,30.15,29.93,29.69,10,10,10,14,4,19,0.00,4,,214
2016-1-29,42,35,28,31,23,15,85,61,36,29.94,29.64,29.53,10,9,7,26,10,35,T,6,Rain-Snow,279
2016-1-30,41,34,26,24,17,13,64,51,37,30.14,30.06,29.95,10,10,10,16,8,21,0.00,2,,234
2016-1-31,58,44,30,35,29,23,85,60,35,30.00,29.92,29.81,10,10,10,12,5,23,0.00,5,,227
2016-2-1,59,49,39,43,39,34,92,72,51,30.10,29.90,29.78,10,9,4,20,7,24,0.10,7,Fog-Rain,270
2016-2-2,53,44,34,34,27,23,70,50,29,30.37,30.28,30.10,10,10,10,13,6,17,0.00,1,,51
2016-2-3,62,48,34,57,48,28,89,80,70,30.30,30.00,29.85,10,8,2,25,8,32,0.46,8,Rain,175
2016-2-4,56,50,44,53,42,27,93,66,39,30.08,29.98,29.87,10,8,0,22,10,25,0.01,8,Fog-Rain,302
2016-2-5,44,39,33,34,27,15,92,63,33,30.38,30.16,30.04,10,6,1,23,11,29,0.40,6,Rain-Snow,357
2016-2-6,43,35,27,27,21,17,75,56,29,30.46,30.38,30.28,10,10,10,10,6,,0.00,5,,226
2016-2-7,46,37,28,28,24,21,78,58,37,30.26,30.10,29.86,10,10,10,20,6,24,0.00,5,,52
2016-2-8,44,38,32,28,26,20,85,65,44,29.82,29.76,29.71,10,8,2,25,11,33,0.01,8,Rain-Snow,73
2016-2-9,37,35,32,31,29,27,89,82,75,29.73,29.63,29.55,10,5,1,15,8,20,0.05,8,Rain-Snow,60
2016-2-10,36,32,28,31,23,10,85,64,43,29.86,29.71,29.63,10,6,1,24,15,32,0.04,8,Snow,269
2016-2-11,28,25,21,11,2,-5,55,41,26,30.28,30.05,29.87,10,10,10,31,18,40,0.00,4,,280
2016-2-12,26,21,16,16,6,-4,74,54,33,30.32,30.15,29.98,10,8,2,17,8,21,0.01,6,Snow,252
2016-2-13,24,19,14,16,0,-13,77,52,27,30.38,30.16,29.95,10,9,2,32,18,41,T,4,Snow,293
2016-2-14,20,14,8,-1,-10,-14,42,33,23,30.57,30.51,30.40,10,10,10,23,10,30,0.00,2,,333
2016-2-15,33,25,17,31,17,-6,89,63,37,30.56,30.33,30.07,10,4,0,13,7,18,0.40,8,Fog-Rain-Snow,63
2016-2-16,60,47,33,54,43,29,93,77,60,30.04,29.69,29.44,10,6,0,36,15,47,0.56,7,Fog-Rain,206
2016-2-17,43,39,34,29,25,21,75,59,43,30.26,30.06,29.85,10,10,10,22,10,28,0.00,7,,284
2016-2-18,37,32,27,22,10,2,61,43,25,30.57,30.44,30.27,10,10,10,22,12,30,0.00,2,,335
2016-2-19,40,31,22,29,13,5,70,50,29,30.62,30.46,30.15,10,10,10,18,8,24,0.00,6,,155
2016-2-20,60,50,40,36,31,26,65,51,37,30.12,29.97,29.87,10,10,10,17,12,26,0.00,5,,219
2016-2-21,61,50,38,44,38,34,85,61,37,29.97,29.93,29.87,10,9,4,15,7,24,0.03,6,Rain,6
2016-2-22,53,46,38,41,29,26,70,54,38,30.24,30.12,29.96,10,10,10,17,7,23,0.00,5,,47
2016-2-23,43,40,37,39,35,25,89,72,54,30.25,30.18,30.11,10,6,2,20,12,26,0.28,8,Rain,52
2016-2-24,65,53,40,59,49,37,92,88,84,30.09,29.72,29.29,10,4,1,36,15,47,1.91,8,Rain-Thunderstorm,102
2016-2-25,62,51,40,56,37,17,82,64,45,29.68,29.40,29.27,10,8,2,36,21,43,0.09,7,Rain,253
2016-2-26,41,37,32,23,11,3,54,38,22,30.15,29.94,29.72,10,10,10,31,18,41,0.00,5,,298
2016-2-27,44,36,27,24,15,8,54,42,29,30.19,30.11,30.04,10,10,10,22,11,25,0.00,2,,266
2016-2-28,64,50,35,32,27,24,70,46,22,30.05,29.95,29.77,10,10,10,28,13,34,0.00,2,,224
2016-2-29,64,54,43,39,32,29,54,45,36,30.01,29.77,29.64,10,10,10,31,14,39,0.01,2,Rain,240
2016-3-1,64,51,38,46,32,27,72,49,25,30.16,29.98,29.58,10,10,10,24,10,31,T,3,Rain,153
2016-3-2,61,47,32,50,27,8,77,52,27,30.18,29.76,29.51,10,9,5,32,20,43,0.26,5,Rain,273
2016-3-3,41,34,27,27,13,8,47,38,29,30.32,30.23,30.17,10,8,2,17,7,21,0.02,5,Snow,223
2016-3-4,41,36,31,28,26,18,85,70,54,30.18,30.10,30.01,10,5,1,21,11,25,0.06,7,Snow,47
2016-3-5,42,36,29,24,17,12,59,45,30,30.25,30.19,30.15,10,10,10,14,7,22,0.00,4,,286
2016-3-6,47,40,33,28,23,20,70,54,37,30.32,30.28,30.21,10,10,9,12,3,16,0.00,6,,85
2016-3-7,61,47,33,36,32,24,82,59,36,30.33,30.20,30.06,10,9,6,23,11,28,0.00,2,,217
2016-3-8,75,56,36,37,35,30,71,46,20,30.18,30.13,30.09,10,10,10,14,6,17,0.00,5,,224
2016-3-9,82,63,43,47,39,34,70,46,21,30.17,30.10,30.03,10,10,10,18,5,26,0.00,4,,222
2016-3-10,82,70,57,53,49,46,67,50,33,30.08,29.99,29.91,10,10,10,20,11,24,0.00,6,,227
2016-3-11,69,60,50,55,41,24,72,48,23,30.35,30.14,29.90,10,10,10,28,10,38,T,6,Rain,345
2016-3-12,61,51,41,39,31,22,63,49,35,30.37,30.24,30.04,10,10,10,14,7,16,0.00,5,,236
2016-3-13,61,55,49,45,41,37,77,64,51,30.09,30.05,30.00,10,10,8,16,5,23,0.07,8,Rain,120
2016-3-14,50,48,45,45,43,41,92,86,80,30.06,29.98,29.86,10,4,2,22,14,31,1.02,8,Rain,56
2016-3-15,53,50,46,45,44,42,86,79,71,29.86,29.83,29.79,10,8,2,17,7,28,0.01,7,Rain,345
2016-3-16,71,56,41,51,46,41,96,72,47,29.88,29.82,29.74,10,7,2,15,5,31,0.01,4,Fog-Rain-Thunderstorm,175
2016-3-17,63,53,43,46,42,32,93,67,41,29.91,29.87,29.80,10,6,1,33,7,40,0.02,5,Fog-Rain,259
2016-3-18,64,56,47,30,22,13,66,40,14,29.97,29.87,29.83,10,10,10,35,14,43,0.00,3,,283
2016-3-19,47,43,38,32,26,18,76,55,33,30.17,30.10,30.01,10,10,8,18,7,30,0.01,6,Rain,17
2016-3-20,43,39,35,32,26,14,89,62,34,30.14,30.04,29.96,10,9,3,18,11,25,0.07,8,Rain-Snow,47
2016-3-21,51,43,34,32,22,11,82,52,21,30.12,29.92,29.86,10,9,5,30,15,40,T,5,Rain-Snow,323
2016-3-22,58,46,33,31,22,12,54,41,28,30.25,30.14,30.03,10,10,10,21,11,28,0.00,2,,236
2016-3-23,73,61,48,35,33,30,61,41,20,30.02,29.99,29.95,10,10,10,21,11,24,0.00,5,,214
2016-3-24,69,58,47,53,42,36,80,61,42,30.07,29.96,29.79,10,10,7,20,10,27,0.00,5,,69
2016-3-25,73,61,49,59,51,34,73,55,37,30.05,29.78,29.71,10,10,10,26,14,35,T,7,Rain,238
2016-3-26,60,49,38,38,32,25,71,54,36,30.39,30.29,30.07,10,10,10,18,9,24,0.00,4,,76
2016-3-27,60,52,44,43,40,38,86,69,51,30.38,30.29,30.09,10,9,4,16,10,18,0.02,8,Rain,83
2016-3-28,70,59,47,50,43,32,93,63,32,30.08,29.78,29.60,10,7,2,38,16,47,0.44,7,Rain,36
2016-3-29,59,52,44,32,20,7,48,32,15,30.26,30.03,29.84,10,10,10,28,16,36,0.00,2,,311
2016-3-30,59,48,37,33,18,8,52,36,19,30.40,30.30,30.18,10,10,10,20,9,25,0.00,3,,176
2016-3-31,73,62,50,58,46,32,71,56,41,30.15,29.96,29.79,10,10,10,30,16,36,T,6,Rain,199
2016-4-1,80,73,65,64,60,56,87,66,45,29.77,29.63,29.51,10,10,5,26,14,39,0.05,7,Rain-Thunderstorm,214
2016-4-2,65,56,46,47,42,36,74,57,39,29.65,29.51,29.32,10,9,2,39,12,49,0.14,7,Rain-Thunderstorm,282
2016-4-3,47,42,36,36,14,4,51,36,20,30.03,29.79,29.39,10,10,10,39,21,52,T,4,,285
2016-4-4,65,51,36,48,37,18,83,59,34,30.05,29.87,29.75,10,9,2,23,10,28,0.28,8,Rain,302
2016-4-5,45,38,30,24,12,3,64,41,18,30.40,30.27,30.07,10,9,2,28,15,34,T,4,Snow,3
2016-4-6,54,42,29,41,19,6,71,47,22,30.41,30.25,29.95,10,10,10,23,11,31,0.00,4,,149
2016-4-7,62,55,48,54,47,38,80,60,39,29.91,29.54,29.40,10,8,1,30,16,35,0.19,7,Rain,201
2016-4-8,51,47,42,39,26,19,71,50,29,29.82,29.69,29.56,10,10,10,28,16,36,T,3,Rain,274
2016-4-9,43,39,35,34,30,22,89,65,41,30.11,29.79,29.69,10,6,1,25,10,34,0.39,8,Rain-Snow,346
2016-4-10,50,41,31,31,18,13,62,45,27,30.40,30.31,30.14,10,10,10,16,9,21,0.00,2,,281
2016-4-11,69,57,44,48,38,31,65,50,34,30.32,30.14,29.97,10,10,10,24,14,34,T,6,Rain,193
2016-4-12,63,55,46,54,44,20,86,55,24,30.31,30.06,29.93,10,8,2,22,14,29,0.31,6,Rain,295
2016-4-13,58,49,40,32,24,20,58,41,24,30.44,30.36,30.30,10,10,10,22,8,27,0.00,1,,67
2016-4-14,63,52,40,34,31,27,67,48,29,30.39,30.34,30.30,10,10,10,16,6,19,0.00,1,,111
2016-4-15,65,53,41,36,31,26,73,49,24,30.47,30.42,30.38,10,10,10,14,5,17,0.00,0,,132
2016-4-16,67,54,41,35,30,22,79,49,18,30.48,30.42,30.38,10,10,10,14,6,21,0.00,2,,104
2016-4-17,73,59,44,38,31,27,65,42,19,30.48,30.39,30.28,10,10,10,13,6,16,0.00,1,,138
2016-4-18,82,65,47,40,35,28,71,43,15,30.29,30.19,30.10,10,10,10,14,6,19,0.00,3,,202
2016-4-19,78,66,54,45,35,19,66,42,17,30.18,30.05,30.00,10,10,10,25,13,34,0.00,5,,313
2016-4-20,71,55,39,33,24,15,41,28,14,30.29,30.24,30.19,10,10,10,17,8,24,0.00,1,,347
2016-4-21,73,60,46,53,40,32,67,47,26,30.24,30.12,30.01,10,10,10,22,10,27,0.00,6,,208
2016-4-22,78,70,61,59,55,53,78,60,42,30.00,29.91,29.85,10,10,10,20,10,23,T,7,Rain,214
2016-4-23,70,61,52,60,52,24,93,63,32,29.99,29.85,29.78,10,8,4,22,12,29,0.11,7,Rain,315
2016-4-24,70,58,46,42,23,18,66,41,16,30.14,30.06,30.00,10,10,10,15,9,23,0.00,3,,290
2016-4-25,77,63,48,51,45,41,80,56,31,30.06,29.96,29.84,10,10,10,13,6,18,T,5,,204
2016-4-26,86,69,51,61,55,49,86,58,29,29.83,29.72,29.60,10,8,4,29,12,34,0.19,6,Rain-Thunderstorm,78
2016-4-27,55,53,50,47,43,40,86,75,64,29.96,29.92,29.85,10,9,6,16,7,20,0.00,7,,107
2016-4-28,56,51,45,45,40,31,89,64,38,30.07,30.03,29.94,10,8,2,15,8,25,0.09,8,Rain,53
2016-4-29,53,49,45,43,41,39,89,74,59,30.15,30.07,30.04,10,9,4,16,9,20,T,8,Rain,62
2016-4-30,64,56,47,43,40,33,82,64,46,30.24,30.20,30.14,10,10,10,12,7,16,T,8,Rain,76
2016-5-1,54,51,47,50,45,36,89,80,71,30.23,30.14,30.07,10,6,2,13,6,20,0.61,8,Rain,96
2016-5-2,65,57,48,56,50,45,93,83,72,30.07,29.97,29.89,10,7,3,12,5,17,0.27,8,Rain-Thunderstorm,81
2016-5-3,59,56,52,56,52,48,86,82,77,29.92,29.83,29.80,10,7,2,15,9,19,0.34,8,Rain-Thunderstorm,70
2016-5-4,54,53,51,48,46,45,83,77,71,29.81,29.75,29.70,10,9,4,16,10,23,0.02,8,Rain,70
2016-5-5,58,54,50,47,45,43,83,73,62,29.73,29.69,29.63,10,9,3,18,11,25,T,8,Rain,55
2016-5-6,56,53,50,52,47,44,89,78,66,29.77,29.68,29.62,10,6,1,21,11,27,1.15,8,Rain,70
2016-5-7,63,57,51,50,47,46,89,73,56,29.80,29.77,29.73,10,9,4,12,6,16,0.08,8,Rain,86
2016-5-8,71,61,51,54,41,23,89,53,17,29.97,29.75,29.65,10,10,7,30,11,37,0.05,6,Rain,248
2016-5-9,71,61,50,49,41,31,72,50,28,30.12,30.04,29.99,10,10,10,23,11,30,0.00,6,,233
2016-5-10,60,56,51,47,39,31,77,59,40,30.30,30.23,30.12,10,10,10,16,6,20,0.02,7,Rain,100
2016-5-11,66,59,52,54,49,44,86,69,52,30.21,30.17,30.12,10,9,5,12,4,20,T,8,,225
2016-5-12,76,66,56,59,56,53,86,70,54,30.16,30.09,30.01,10,7,3,16,6,21,0.00,6,,214
2016-5-13,70,65,60,63,59,55,93,85,76,30.00,29.86,29.79,10,7,2,13,7,17,0.20,7,Rain,209
